participant_id,level_name,game_batch,game_id,trial_id,human_conf,human_AI_conf,AI_conf,Ai_calibrated_conf,true_prob,nr_reds_shown,initial_decision,final_decision,outcome,win,points
669ea1df424c2,level_A,6,154,5,86,17,46,,33.84615384615385,1,Black,Black,Black,1,4
669ea1df424c2,level_A,6,160,6,27,27,69,,56.92307692307692,6,Black,Black,Red,-1,3
669ea1df424c2,level_A,6,148,7,27,27,23,,10.76923076923077,3,Black,Black,Black,1,4
669ea1df424c2,level_A,6,166,8,83,83,92,,86.15384615384616,16,Red,Red,Black,-1,3
669ea1df424c2,level_A,6,146,9,0,0,15,,3.076923076923077,0,Black,Black,Black,1,4
669ea1df424c2,level_A,6,164,10,50,50,85,,72.3076923076923,10,Red,Red,Red,1,5
669ea1df424c2,level_A,6,156,11,79,79,54,,41.53846153846154,5,Black,Black,Red,-1,4
669ea1df424c2,level_A,6,167,12,100,100,92,,98.46153846153848,21,Red,Red,Red,1,5
669ea1df424c2,level_A,6,157,13,97,97,54,,66.15384615384615,20,Red,Red,Red,1,6
669ea1df424c2,level_A,6,-1,14,100,100,100,,100.0,21,Red,Red,Red,1,7
669ea1df424c2,level_A,6,153,15,59,59,38,,50.76923076923077,15,Black,Black,Red,-1,6
669ea1df424c2,level_A,6,152,16,5,5,38,,26.15384615384616,2,Black,Black,Black,1,7
669ea1df424c2,level_A,6,144,17,0,0,8,,1.5384615384615383,0,Black,Black,Black,1,8
669ea1df424c2,level_A,6,161,18,94,94,69,,81.53846153846153,19,Red,Red,Red,1,9
669ea1df424c2,level_A,6,147,19,54,54,15,,27.692307692307693,10,Black,Black,Black,1,10
669ea1df424c2,level_A,6,159,20,84,84,62,,73.84615384615385,19,Red,Red,Red,1,11
669ea1df424c2,level_A,6,158,21,39,39,62,,49.23076923076923,6,Black,Black,Black,1,12
669ea1df424c2,level_A,6,162,22,52,52,77,,64.61538461538461,10,Red,Red,Red,1,13
669ea1df424c2,level_A,6,165,23,100,100,85,,96.92307692307692,21,Red,Red,Red,1,14
669ea1df424c2,level_A,6,150,24,0,0,31,,18.461538461538463,0,Black,Black,Black,1,15
669ea1df424c2,level_A,6,149,25,69,69,23,,35.38461538461539,14,Red,Red,Red,1,16
669ea1df424c2,level_A,6,145,26,36,36,8,,13.846153846153848,6,Black,Black,Black,1,17
669ea20a8085d,level_A,9,-2,0,82,82,0,,0.0,0,Red,Red,Black,-1,-1
669ea20a8085d,level_A,9,-3,1,72,72,54,,60.0,14,Red,Red,Red,1,0
669ea20a8085d,level_A,9,227,2,83,83,46,,58.46153846153847,18,Red,Black,Red,-1,-1
669ea20a8085d,level_A,9,218,3,82,82,15,,3.076923076923077,0,Black,Black,Black,1,0
669ea20a8085d,level_A,9,234,4,81,81,77,,64.61538461538461,10,Red,Red,Black,-1,-1
669ea20a8085d,level_A,9,235,5,96,96,77,,89.23076923076924,21,Red,Red,Red,1,0
669ea20a8085d,level_A,9,220,6,78,78,23,,10.76923076923077,2,Black,Black,Black,1,1
669ea20a8085d,level_A,9,224,7,83,83,38,,26.15384615384616,2,Black,Black,Black,1,2
669ea20a8085d,level_A,9,239,8,96,96,92,,98.46153846153848,21,Red,Red,Red,1,3
669ea20a8085d,level_A,9,229,9,89,89,54,,66.15384615384615,19,Red,Red,Red,1,4
669ea20a8085d,level_A,9,225,10,71,71,38,,50.76923076923077,14,Red,Black,Red,-1,3
669ea20a8085d,level_A,9,228,11,84,84,54,,41.53846153846154,6,Black,Black,Black,1,4
669ea20a8085d,level_A,9,221,12,85,85,23,,35.38461538461539,16,Red,Red,Black,-1,3
669ea20a8085d,level_A,9,233,13,91,91,69,,81.53846153846153,19,Red,Red,Red,1,4
669ea20a8085d,level_A,9,-1,14,98,98,100,,100.0,21,Red,Red,Red,1,5
669ea20a8085d,level_A,9,222,15,96,96,31,,18.461538461538463,1,Black,Black,Red,-1,4
669ea20a8085d,level_A,9,232,16,87,87,69,,56.92307692307692,5,Black,Black,Black,1,5
669ea20a8085d,level_A,9,226,17,88,88,46,,33.84615384615385,3,Red,Red,Black,-1,4
669ea20a8085d,level_A,9,231,18,89,89,62,,73.84615384615385,20,Red,Red,Red,1,5
669ea20a8085d,level_A,9,238,19,72,72,92,,86.15384615384616,15,Red,Red,Black,-1,4
669ea20a8085d,level_A,9,219,20,75,75,15,,27.692307692307693,10,Black,Red,Black,-1,3
669ea20a8085d,level_A,9,237,21,92,92,85,,96.92307692307692,21,Red,Red,Red,1,4
